股票代码,股票名称,触发交易日,2-10日最高涨幅(%),2-10日最低跌幅(%),11-20日最高涨幅(%),11-20日最低跌幅(%),21-40日最高涨幅(%),21-40日最低跌幅(%),41-60日最高涨幅(%),41-60日最低跌幅(%),至今最高涨幅(%),至今最低跌幅(%)
600338.SH,西藏珠峰,20250722,-0.77,-9.97,-6.8,-11.36,5.18,-7.26,9.58,-5.18,113.37,-11.36
600339.SH,中油工程,20260129,-5.81,-10.7,21.86,-10.47,10.93,-7.67,10.0,-11.16,21.86,-18.14
600346.SH,恒力石化,20250820,7.58,3.64,7.27,2.3,6.85,-1.39,23.58,2.24,62.06,-1.39
600352.SH,浙江龙盛,20260121,19.92,1.71,29.53,9.15,29.69,-2.02,8.84,-1.09,29.69,-13.02
600361.SH,创新新材,20250820,0.64,-7.42,-4.45,-7.84,-7.2,-12.71,-0.85,-8.9,7.84,-15.68
600362.SH,江西铜业,20250825,10.12,-3.3,15.16,6.04,56.1,5.45,60.73,32.26,161.29,-3.3
600363.SH,联创光电,20251013,-6.89,-11.8,-5.06,-15.65,-13.26,-23.68,1.1,-19.4,10.69,-48.7
600372.SH,中航机载,20260108,7.4,-6.75,6.94,-2.73,5.97,-7.85,-8.57,-18.56,7.4,-27.71
600380.SH,健康元,20250901,-0.37,-4.9,-4.98,-10.4,-8.13,-13.18,-7.03,-12.45,0.0,-27.53
600391.SH,航发科技,20251225,24.42,-7.64,46.91,4.6,53.94,28.4,38.69,2.41,53.94,-7.64
600399.SH,抚顺特钢,20260112,-0.28,-9.92,-1.13,-10.06,11.05,-10.62,-7.37,-19.26,11.05,-32.01
600409.SH,三友化工,20251113,2.57,-12.56,-4.84,-12.25,0.61,-12.71,24.05,1.21,38.73,-12.71
600425.SH,青松建化,20250721,5.54,-3.86,16.87,-3.86,18.55,3.86,18.55,2.41,20.24,-11.08
600428.SH,中远海特,20260303,-8.71,-15.05,-1.51,-14.95,3.23,-7.74,-7.96,-18.92,3.23,-18.92
600433.SH,冠豪高新,20260427,16.82,0.0,5.0,-3.41,-6.59,-6.59,,,16.82,-6.59
600489.SH,中金黄金,20250901,9.85,0.11,20.2,2.73,45.13,17.81,30.17,18.67,133.35,0.0
600502.SH,安徽建工,20260331,4.09,-6.57,7.1,-4.26,-1.78,-11.9,,,7.1,-11.9
600509.SH,天富能源,20260514,-4.74,-12.29,-5.71,-5.71,,,,,0.0,-12.29
600515.SH,海南机场,20250724,0.0,-7.0,-4.59,-8.45,-1.69,-9.18,16.67,-4.11,35.75,-23.67
600516.SH,方大炭素,20250908,-3.44,-7.41,-0.54,-8.68,21.52,-7.05,25.14,7.05,28.57,-9.04
600517.SH,国网英大,20251029,11.75,2.38,5.4,-6.67,-3.97,-6.83,11.75,-4.6,20.16,-14.44
600528.SH,中铁工业,20260331,-5.56,-13.2,-13.3,-15.7,-12.98,-19.63,,,0.0,-19.63
600545.SH,卓郎智能,20260212,26.52,-6.4,41.16,15.55,33.54,7.93,101.52,29.88,140.24,-10.06
600550.SH,保变电气,20251105,25.13,4.34,2.12,-7.16,17.05,-8.17,63.98,9.49,92.03,-8.17
600552.SH,凯盛科技,20260112,1.31,-9.22,2.29,-6.93,-1.7,-15.42,-11.83,-24.12,30.92,-24.12
600556.SH,天下秀,20250925,5.71,-1.25,10.89,-0.89,31.25,8.57,19.46,-1.61,66.61,-7.86
600578.SH,京能电力,20251223,5.26,-0.58,10.14,4.68,7.41,-0.97,14.81,-0.58,89.08,-5.26
