股票代码,股票名称,首次满足日期,10日涨幅(%),20日涨幅(%),40日涨幅(%)
300777.SZ,中简科技,20260116,-2.656421514818867,-8.386388583973657,-24.43468715697035
300836.SZ,佰奥智能,20260116,-6.811819595645405,-5.909797822706061,-17.589424572317256
600584.SH,长电科技,20260116,2.2525315147757725,-4.670386443480053,-19.239512295928915
601096.SH,宏盛华源,20260116,9.937888198757754,24.01656314699793,16.977225672877854
601163.SH,三角轮胎,20260116,-0.5151320025756605,-2.3824855119124226,-12.749517063747579
603638.SH,艾迪精密,20260116,4.184297132110957,19.69910672308416,-9.779031499764919
688362.SH,甬矽电子,20260116,-10.093851752537834,-12.564642788737793,-33.441869373683204
688396.SH,华润微,20260116,-6.4956011730205265,-12.360703812316714,-34.193548387096776
000400.SZ,许继电气,20260119,-5.06172839506172,-2.716049382716047,-11.759259259259256
000975.SZ,山金国际,20260119,3.5667107001320946,1.4200792602377796,-12.120211360634087
002258.SZ,利尔化学,20260119,-2.1978021978021944,2.258852258852265,-12.148962148962141
002350.SZ,北京科锐,20260119,-1.6129032258064528,2.1169354838709764,51.61290322580644
002606.SZ,大连电瓷,20260119,8.856088560885617,17.804428044280442,5.258302583025833
300257.SZ,开山股份,20260119,-10.746910263299302,5.15851692638367,60.82751209027405
300863.SZ,卡倍亿,20260119,9.034653465346533,0.6541725601131496,-9.865629420084874
600189.SH,泉阳泉,20260119,1.9728729963008649,4.562268803945758,-7.028360049321818
600312.SH,平高电气,20260119,-5.316344463971884,0.659050966608078,-7.117750439367315
600378.SH,昊华科技,20260119,-9.376636982713459,-2.7501309586170697,-20.377160817181775
601968.SH,宝钢包装,20260119,-4.560260586319208,-0.8143322475570003,-16.77524429967426
605488.SH,福莱新材,20260119,-10.669456066945614,-3.2078103207810376,-25.058112505811252
000830.SZ,鲁西化工,20260120,-12.47494989979961,-8.016032064128263,-23.446893787575156
003035.SZ,南网能源,20260120,32.14920071047958,28.5968028419183,65.89698046181172
600075.SH,新疆天业,20260120,-5.75079872204472,3.514376996805122,12.300319488817898
600649.SH,城投控股,20260120,1.3671875000000056,9.960937499999996,-11.914062500000005
601117.SH,中国化学,20260120,-3.526734926052318,0.5688282138794165,6.257110352673502
601677.SH,明泰铝业,20260120,-1.503307276007216,0.18039687312087274,-11.304870715574259
603078.SH,江化微,20260120,6.409168081494064,8.319185059422754,-5.984719864176571
000048.SZ,京基智农,20260121,-2.594594594594597,-5.027027027027025,8.108108108108109
002134.SZ,天津普林,20260121,-16.329428470003553,-13.844515441959537,-28.29250976215833
