序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
1030,'600628,新世界,6.7,0.90%,0.06,6.92万手,788手,6.7,6.71,0.00%,1.07%,4619万,48.34 ①,商贸零售,6.71,6.61,6.62,6.64,1.51%,0.58,-26.79%,-1407手,6.67,3.44万手,3.48万手,0.99,384手,1171手,1.02,6.47亿,43.3亿元,6.47亿,43.3亿元,-1.90%,-6.16%,4.58%,10.32%
1031,'600908,无锡银行,5.59,0.90%,0.05,9.35万手,1587手,5.58,5.59,0.18%,0.47%,5215万,4.83 ①,农商行Ⅲ,5.61,5.53,5.53,5.54,1.44%,0.74,31.29%,5648手,5.58,4.01万手,5.34万手,0.75,1290手,363手,0.53,21.9亿,123亿元,20.0亿,112亿元,-0.71%,-1.24%,1.98%,3.61%
1032,'600570,恒生电子,26.9,0.90%,0.24,26.2万手,2177手,26.89,26.9,0.00%,1.39%,6.98亿,91.77 ①,软件开发,26.92,26.3,26.65,26.66,2.33%,0.83,-60.47%,-2992手,26.62,14.1万手,12.1万手,1.16,39手,1255手,5.11,18.9亿,509亿元,18.9亿,509亿元,0.56%,-3.96%,4.69%,9.76%
1033,'600613,神奇制药,5.61,0.90%,0.05,6.23万手,669手,5.61,5.62,0.00%,1.30%,3478万,58.14 ①,化学制剂,5.64,5.52,5.57,5.56,2.16%,0.72,-15.25%,-1123手,5.59,2.99万手,3.23万手,0.93,167手,1351手,1.29,5.34亿,30.0亿元,4.79亿,26.9亿元,0.18%,-4.27%,4.69%,10.31%
1034,'600645,中源协和,22.48,0.90%,0.2,7.69万手,685手,22.47,22.48,-0.04%,1.64%,1.73亿,108.47 ①,生物制品,22.92,22.3,22.33,22.28,2.78%,0.74,-22.91%,-296手,22.54,4.11万手,3.57万手,1.15,113手,121手,2.83,4.68亿,105亿元,4.68亿,105亿元,-4.10%,-10.65%,6.35%,12.73%
1035,'688722,同益中,19.19,0.89%,0.17,4.66万手,1011手,19.18,19.19,0.26%,2.08%,8883万,29.74 ①,化学纤维,19.36,18.77,19,19.02,3.10%,1.02,-8.39%,-47手,19.05,2.46万手,2.20万手,1.12,5手,84手,2.95,2.25亿,43.1亿元,2.24亿,43.0亿元,5.38%,2.07%,7.61%,12.25%
1036,'600248,陕建股份,3.39,0.89%,0.03,11.2万手,2085手,3.38,3.39,0.30%,0.30%,3798万,17.76 ①,建筑装饰,3.39,3.35,3.36,3.36,1.19%,0.57,21.09%,6689手,3.38,4.55万手,6.70万手,0.68,4927手,2778手,0.46,37.4亿,127亿元,37.1亿,126亿元,0.00%,-1.74%,1.24%,2.95%
1037,'601966,玲珑轮胎,12.49,0.89%,0.11,6.00万手,798手,12.48,12.49,0.08%,0.41%,7471万,270.51 ①,汽车,12.5,12.35,12.37,12.38,1.21%,0.52,-12.72%,-629手,12.44,2.97万手,3.03万手,0.98,712手,770手,0.8,14.6亿,183亿元,14.6亿,183亿元,-3.33%,-6.44%,1.97%,4.35%
1038,'600265,*ST景谷,21.6,0.89%,0.19,5078手,52手,21.59,21.6,0.42%,0.39%,1097万,亏损 ①,林业Ⅲ,21.85,21.42,21.42,21.41,2.01%,0.52,-14.97%,-50手,21.59,2860手,2218手,1.29,23手,36手,13.24,1.30亿,28.0亿元,1.30亿,28.0亿元,0.09%,-4.21%,1.39%,4.15%
1039,'603408,建霖家居,11.39,0.89%,0.1,1.32万手,119手,11.38,11.39,0.00%,0.30%,1501万,13.51 ①,轻工制造,11.41,11.22,11.28,11.29,1.68%,0.62,-65.20%,-907手,11.34,7630手,5609手,1.36,50手,87手,1.45,4.48亿,51.0亿元,4.48亿,51.0亿元,-1.04%,-4.04%,1.41%,2.69%
1040,'600479,千金药业,10.27,0.88%,0.09,3.93万手,213手,10.27,10.28,0.00%,0.94%,4028万,16.85 ①,中药Ⅱ,10.3,10.18,10.18,10.18,1.18%,0.55,2.07%,98手,10.25,1.65万手,2.28万手,0.72,378手,760手,1.63,4.92亿,50.5亿元,4.19亿,43.0亿元,-0.87%,-4.91%,4.29%,9.44%
1041,'688475,萤石网络,30.82,0.88%,0.27,3.21万手,183手,30.82,30.85,-0.13%,0.41%,9870万,33.22 ①,计算机,31,30.36,30.46,30.55,2.09%,0.55,-12.09%,-136手,30.74,1.59万手,1.62万手,0.98,16手,100手,4.06,7.88亿,243亿元,7.88亿,243亿元,1.02%,-1.88%,1.83%,4.13%
1042,'600793,宜宾纸业,16,0.88%,0.14,2.04万手,136手,15.99,16,0.13%,1.15%,3253万,亏损 ①,造纸,16.18,15.79,16.01,15.86,2.46%,0.73,-27.14%,-263手,15.98,1.01万手,1.03万手,0.98,128手,28手,12.49,1.77亿,28.3亿元,1.77亿,28.3亿元,0.57%,-2.79%,4.59%,9.05%
1043,'603809,豪能股份,11.49,0.88%,0.1,11.0万手,1163手,11.49,11.5,-0.09%,1.20%,1.26亿,25.52 ①,底盘与发动机系统,11.54,11.37,11.4,11.39,1.49%,0.72,-54.42%,-3968手,11.45,5.52万手,5.49万手,1.01,100手,1261手,2.8,9.20亿,106亿元,9.20亿,106亿元,3.42%,-0.61%,5.60%,9.54%
1044,'600419,天润乳业,9.2,0.88%,0.08,3.32万手,409手,9.18,9.2,0.33%,1.05%,3033万,24.39 ①,乳品,9.24,9.02,9.17,9.12,2.41%,0.75,57.39%,1056手,9.14,1.53万手,1.79万手,0.86,434手,40手,1.18,3.16亿,29.0亿元,3.16亿,29.0亿元,-1.08%,-5.15%,3.86%,8.03%
1045,'600252,中恒集团,2.3,0.88%,0.02,31.4万手,5876手,2.3,2.31,0.00%,0.99%,7195万,亏损 ①,中药Ⅱ,2.31,2.26,2.28,2.28,2.19%,0.67,1.91%,1503手,2.29,14.4万手,17.0万手,0.85,909手,9073手,1.39,31.8亿,73.2亿元,31.8亿,73.2亿元,-0.43%,-4.17%,4.09%,8.34%
1046,'601886,江河集团,9.21,0.88%,0.08,5.97万手,662手,9.18,9.21,0.00%,0.53%,5427万,17.08 ①,建筑装饰,9.21,8.95,9.03,9.13,2.85%,0.91,-76.14%,-785手,9.1,2.70万手,3.26万手,0.83,2手,64手,1.41,11.3亿,104亿元,11.3亿,104亿元,-1.29%,-2.64%,1.94%,3.42%
1047,'601827,三峰环境,8.09,0.87%,0.07,6.16万手,289手,8.08,8.09,0.00%,0.37%,4973万,7.87 ①,环保,8.11,7.99,8.02,8.02,1.50%,0.98,-39.09%,-2409手,8.07,2.61万手,3.55万手,0.74,424手,1186手,1.08,16.7亿,135亿元,16.7亿,135亿元,0.37%,-0.86%,1.11%,2.25%
1048,'600794,保税科技,3.47,0.87%,0.03,6.23万手,1101手,3.46,3.47,0.00%,0.52%,2153万,44.95 ①,物流,3.48,3.42,3.43,3.44,1.74%,0.57,-31.46%,-8664手,3.45,2.97万手,3.26万手,0.91,3894手,1026手,1.67,12.0亿,41.6亿元,12.0亿,41.6亿元,-1.14%,-3.88%,2.27%,5.08%
1049,'603065,宿迁联盛,8.1,0.87%,0.07,2.61万手,649手,8.09,8.1,0.00%,0.62%,2111万,155.99 ①,化学制品,8.15,8.01,8.05,8.03,1.74%,0.67,-43.63%,-1085手,8.08,1.23万手,1.39万手,0.89,165手,615手,1.7,4.19亿,33.9亿元,4.19亿,33.9亿元,0.25%,-2.64%,2.67%,5.28%
1050,'600829,人民同泰,9.26,0.87%,0.08,3.61万手,445手,9.25,9.26,0.00%,0.62%,3327万,27.70 ①,医药流通,9.29,9.15,9.18,9.18,1.53%,0.48,-15.17%,-604手,9.23,2.00万手,1.61万手,1.24,132手,560手,1.75,5.80亿,53.7亿元,5.80亿,53.7亿元,-2.22%,-7.58%,2.53%,7.06%
1051,'603101,汇嘉时代,8.11,0.87%,0.07,10.2万手,1113手,8.1,8.11,0.00%,2.17%,8243万,14.80 ①,多业态零售,8.12,7.97,8,8.04,1.87%,0.62,-55.35%,-3568手,8.06,5.02万手,5.20万手,0.97,594手,2822手,2.66,4.70亿,38.1亿元,4.70亿,38.1亿元,-0.86%,-8.67%,7.93%,19.81%
1052,'688055,龙腾光电,4.64,0.87%,0.04,18.1万手,2586手,4.63,4.64,0.43%,0.54%,8299万,亏损 ①,面板,4.66,4.48,4.61,4.6,3.91%,0.65,-32.05%,-4336手,4.58,9.30万手,8.81万手,1.06,2174手,4715手,3.86,33.3亿,155亿元,33.3亿,155亿元,-0.43%,-0.43%,1.94%,4.73%
1053,'600257,大湖股份,5.81,0.87%,0.05,13.1万手,1052手,5.81,5.82,0.17%,2.72%,7528万,亏损 ①,农林牧渔,5.83,5.67,5.75,5.76,2.78%,0.85,-7.60%,-447手,5.75,5.93万手,7.16万手,0.83,88手,764手,3.5,4.81亿,28.0亿元,4.81亿,28.0亿元,-2.35%,-7.78%,8.72%,18.72%
1054,'600226,亨通股份,5.81,0.87%,0.05,83.4万手,6868手,5.8,5.81,-0.17%,2.80%,4.80亿,60.16 ①,电力,5.9,5.64,5.77,5.76,4.51%,0.79,-65.44%,-3.17万手,5.76,43.4万手,39.9万手,1.09,2348手,1288手,4.66,29.7亿,173亿元,29.7亿,173亿元,2.47%,3.94%,9.89%,20.65%
