序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
157,'920433,大唐药业,5.19,1.76%,0.09,1.92万手,150手,5.19,5.2,-0.38%,1.13%,993万,138.96 ①,中药Ⅱ,5.24,5.09,5.09,5.1,2.94%,0.31,-64.44%,-1311手,5.19,6443手,1.27万手,0.51,36手,104手,3.5,2.56亿,13.3亿元,1.69亿,8.79亿元,-7.49%,-4.60%,6.67%,19.33%
158,'920111,聚星科技,33.52,1.76%,0.58,5.29万手,390手,33.51,33.52,0.15%,7.02%,1.76亿,14.19 ①,电力设备,33.93,32.53,33.02,32.94,4.25%,0.67,56.44%,319手,33.28,2.64万手,2.64万手,1,40手,30手,5.07,1.55亿,52.0亿元,7529万,25.2亿元,1.58%,-5.58%,21.38%,59.68%
159,'920876,慧为智能,22.61,1.76%,0.39,7096手,97手,22.61,22.62,0.40%,1.81%,1600万,亏损 ①,消费电子,22.86,22.07,22.07,22.22,3.56%,0.77,-31.65%,-118手,22.55,3129手,3967手,0.79,67手,16手,5.71,6418万,14.5亿元,3925万,8.87亿元,1.85%,-3.29%,6.06%,13.60%
160,'920885,星辰科技,18.04,1.75%,0.31,1.84万手,27手,18.03,18.04,0.06%,2.08%,3326万,1302.80 ①,工控设备,18.35,17.58,17.72,17.73,4.34%,0.74,-41.55%,-368手,18.1,8215手,1.02万手,0.81,67手,173手,7.49,1.71亿,30.8亿元,8850万,16.0亿元,-0.33%,-5.65%,7.12%,16.03%
161,'920651,天罡股份,26.2,1.75%,0.45,4620手,14手,26.2,26.23,-0.15%,1.11%,1210万,36.55 ①,通用设备,26.42,25.71,25.84,25.75,2.76%,0.74,-43.80%,-99手,26.2,2094手,2527手,0.83,12手,30手,2.9,6100万,16.0亿元,4147万,10.9亿元,0.00%,-5.92%,3.58%,8.61%
162,'920906,舜宇精工,23.36,1.74%,0.4,1.04万手,111手,23.33,23.36,0.00%,3.13%,2459万,880.60 ①,车身附件及饰件,24.09,22.8,22.8,22.96,5.62%,1.22,-37.84%,-99手,23.57,4990手,5441手,0.92,26手,1手,2.64,6497万,15.2亿元,3336万,7.79亿元,0.91%,-4.03%,9.66%,15.98%
163,'920570,坤博精工,30.52,1.73%,0.52,8224手,230手,30.43,30.52,1.40%,3.38%,2480万,67.05 ①,其他通用设备,30.77,29.7,29.87,30,3.57%,0.57,-7.14%,-9手,30.15,4042手,4182手,0.97,10手,13手,4.3,5017万,15.3亿元,2436万,7.44亿元,-7.18%,-2.68%,16.88%,32.80%
164,'920873,中设咨询,8.93,1.71%,0.15,2.90万手,105手,8.93,8.94,0.11%,2.42%,2579万,亏损 ①,建筑装饰,9.08,8.73,8.8,8.78,3.99%,0.47,1.17%,9手,8.88,1.34万手,1.57万手,0.86,12手,5手,5.52,1.53亿,13.7亿元,1.20亿,10.7亿元,-2.93%,-7.27%,9.12%,28.34%
165,'920808,曙光数创,84.45,1.67%,1.39,2.86万手,357手,84.45,84.46,0.00%,1.47%,2.37亿,亏损 ①,计算机,85.18,81.37,83.12,83.06,4.59%,0.76,77.17%,250手,82.88,1.45万手,1.41万手,1.03,186手,4手,23.73,2.00亿,169亿元,1.95亿,164亿元,0.72%,-0.61%,4.67%,11.17%
166,'920493,并行科技,158.66,1.64%,2.56,1.93万手,216手,158.66,158.71,0.18%,4.41%,3.07亿,204.06 ①,IT服务Ⅲ,161.01,155.01,155.55,156.1,3.84%,0.94,70.41%,112手,158.62,9063手,1.03万手,0.88,76手,4手,20.39,5971万,94.7亿元,4380万,69.5亿元,1.78%,-2.62%,13.10%,27.84%
167,'920185,贝特瑞,29.19,1.64%,0.47,4.87万手,289手,29.18,29.19,0.07%,0.43%,1.41亿,51.64 ①,电力设备,29.19,28.54,28.91,28.72,2.26%,0.57,23.09%,133手,28.94,2.27万手,2.60万手,0.87,44手,46手,2.58,11.4亿,332亿元,11.2亿,327亿元,0.66%,-6.35%,1.74%,4.25%
