序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
80,'920363,莱赛激光,16.69,2.77%,0.45,1.37万手,77手,16.68,16.69,-0.24%,2.53%,2278万,608.27 ①,通用设备,16.8,16.2,16.21,16.24,3.69%,0.77,-44.62%,-93手,16.58,5330手,8410手,0.63,5手,67手,4.57,9545万,15.9亿元,5429万,9.06亿元,-2.17%,-1.82%,9.35%,19.01%
81,'920227,美登科技,64.65,2.77%,1.74,6547手,90手,64.6,64.65,0.00%,3.69%,4178万,54.24 ①,IT服务Ⅲ,65.3,60.36,63.28,62.91,7.85%,0.84,-12.60%,-23手,63.83,2972手,3575手,0.83,4手,64手,5.88,3894万,25.2亿元,1772万,11.5亿元,3.57%,-0.90%,12.27%,25.67%
82,'920491,奥迪威,25.31,2.76%,0.68,3.01万手,276手,25.3,25.31,0.24%,2.60%,7562万,67.69 ①,被动元件,25.67,24.56,24.79,24.63,4.51%,1.06,17.23%,56手,25.16,1.37万手,1.63万手,0.84,88手,71手,3.29,1.41亿,35.7亿元,1.16亿,29.2亿元,3.05%,-3.98%,8.56%,14.85%
83,'920932,科达自控,14.98,2.74%,0.4,1.23万手,38手,14.96,14.98,0.13%,1.42%,1842万,亏损 ①,软件开发,15.15,14.48,14.48,14.58,4.60%,0.73,-35.81%,-188手,14.94,4912手,7415手,0.66,68手,160手,2.62,1.05亿,15.8亿元,8681万,13.0亿元,1.56%,-3.35%,5.32%,11.14%
84,'920110,雷特科技,31.98,2.70%,0.84,1994手,14手,31.98,32.15,-0.47%,1.23%,635万,56.07 ①,电力设备,32.3,30.95,30.97,31.14,4.34%,1.52,46.64%,24手,31.85,678手,1317手,0.51,9手,3手,3.32,3900万,12.5亿元,1624万,5.19亿元,1.40%,-2.26%,2.49%,5.28%
85,'920553,凯腾精工,8.76,2.70%,0.23,9710手,210手,8.72,8.76,0.11%,1.07%,846万,133.65 ①,专用设备,8.81,8.48,8.63,8.53,3.87%,1.34,-62.91%,-685手,8.71,3480手,6230手,0.56,9手,90手,3.52,1.44亿,12.6亿元,9104万,7.98亿元,0.34%,-2.23%,2.43%,5.05%
86,'920694,中裕科技,17.3,2.67%,0.45,6263手,44手,17.3,17.33,-0.29%,1.00%,1079万,17.06 ①,橡胶,17.35,16.83,16.83,16.85,3.09%,0.78,19.63%,32手,17.23,1821手,4442手,0.41,44手,5手,2.48,1.32亿,22.9亿元,6249万,10.8亿元,-3.14%,-4.31%,3.90%,7.45%
87,'920056,能之光,22.75,2.66%,0.59,1.56万手,127手,22.75,22.76,-0.35%,5.06%,3570万,31.36 ①,其他塑料制品,23.35,22,22.29,22.16,6.09%,1.31,15.41%,14手,22.85,6386手,9235手,0.69,12手,1手,3.37,8169万,18.6亿元,3084万,7.02亿元,0.57%,-1.09%,12.92%,24.40%
88,'920641,格利尔,17.85,2.65%,0.46,1.79万手,837手,17.85,17.86,0.68%,3.94%,3156万,519.36 ①,照明设备Ⅱ,17.85,17.3,17.4,17.39,3.16%,0.78,49.89%,183手,17.62,6560手,1.14万手,0.58,166手,10手,3.85,7508万,13.4亿元,4542万,8.11亿元,-2.25%,-0.34%,12.59%,29.34%
89,'920455,汇隆活塞,7.77,2.64%,0.2,9091手,2手,7.73,7.77,0.00%,0.97%,700万,42.10 ①,专用设备,7.77,7.49,7.55,7.57,3.70%,1.17,-63.82%,-521手,7.71,2894手,6197手,0.47,13手,277手,3.91,1.77亿,13.8亿元,9376万,7.29亿元,1.04%,-1.02%,2.62%,5.13%
90,'920304,迪尔化工,11.17,2.57%,0.28,1.24万手,111手,11.16,11.17,-0.27%,0.91%,1367万,52.09 ①,化学原料,11.22,10.89,10.92,10.89,3.03%,0.85,-79.19%,-656手,11.06,4310手,8049手,0.54,26手,442手,3.5,1.70亿,18.9亿元,1.36亿,15.2亿元,-2.02%,-3.71%,3.32%,6.21%
91,'920556,雅达股份,9.19,2.57%,0.23,2.73万手,645手,9.19,9.2,0.00%,2.34%,2493万,73.72 ①,电力设备,9.2,8.88,8.92,8.96,3.57%,0.67,-43.95%,-812手,9.12,9819手,1.75万手,0.56,155手,968手,2.81,1.61亿,14.8亿元,1.17亿,10.8亿元,-2.65%,-2.55%,8.07%,19.83%
92,'920519,万德股份,12.01,2.56%,0.3,8826手,13手,11.97,12.01,0.25%,1.53%,1055万,24.24 ①,化学制品,12.04,11.75,11.75,11.71,2.48%,1.18,-26.21%,-65手,11.95,2187手,6638手,0.33,70手,37手,2.02,8926万,10.7亿元,5754万,6.91亿元,-2.04%,-2.28%,3.92%,8.02%
93,'920145,恒合股份,13.73,2.54%,0.34,7681手,82手,13.73,13.79,-0.87%,1.58%,1050万,亏损 ①,环保,13.93,13.14,13.48,13.39,5.90%,0.83,30.20%,88手,13.67,2690手,4991手,0.54,12手,20手,3.76,7055万,9.69亿元,4859万,6.67亿元,-1.72%,-5.11%,6.15%,11.10%
94,'920057,百甲科技,6.1,2.52%,0.15,1.22万手,50手,6.1,6.12,-0.16%,1.06%,740万,151.96 ①,建筑装饰,6.13,5.92,5.92,5.95,3.53%,1.1,-65.83%,-1664手,6.07,4371手,7815手,0.56,83手,20手,1.54,1.81亿,11.1亿元,1.15亿,7.02亿元,0.49%,-2.71%,2.77%,5.89%
95,'920476,海能技术,17.95,2.51%,0.44,1.01万手,55手,17.95,17.97,0.00%,1.26%,1805万,亏损 ①,通用设备,18.01,17.39,17.51,17.51,3.54%,0.61,-85.56%,-791手,17.83,4065手,6059手,0.67,48手,132手,3.41,8518万,15.3亿元,8063万,14.5亿元,-5.03%,-7.90%,6.94%,11.48%
96,'920163,方大新材,12.29,2.50%,0.3,5961手,36手,12.25,12.29,0.08%,0.98%,727万,24.08 ①,轻工制造,12.34,11.94,11.99,11.99,3.34%,0.85,-7.71%,-29手,12.2,2655手,3306手,0.8,100手,108手,3.06,1.29亿,15.8亿元,6068万,7.46亿元,-0.08%,-3.68%,3.42%,6.79%
97,'920262,太湖雪,16.39,2.50%,0.4,5855手,9手,16.39,16.46,-0.49%,1.56%,953万,35.15 ①,家纺,16.47,15.99,16.13,15.99,3.00%,0.98,-10.61%,-37手,16.27,2268手,3587手,0.63,35手,13手,3.06,8294万,13.6亿元,3742万,6.13亿元,-1.32%,-4.26%,4.95%,9.58%
98,'920351,华光源海,16.43,2.50%,0.4,1.32万手,166手,16.43,16.45,-0.12%,3.32%,2179万,51.46 ①,跨境物流,16.7,16,16.16,16.03,4.37%,0.57,28.76%,289手,16.49,5304手,7908手,0.67,564手,105手,3.26,8804万,14.5亿元,3984万,6.55亿元,-5.14%,-5.57%,14.04%,32.52%
99,'920346,威贸电子,20.29,2.47%,0.49,4501手,127手,20.17,20.29,0.40%,1.01%,907万,43.10 ①,消费电子,20.36,19.84,19.84,19.8,2.63%,0.68,26.27%,40手,20.16,2223手,2278手,0.98,19手,5手,3.37,8065万,16.4亿元,4460万,9.05亿元,-0.10%,-4.07%,3.69%,8.48%
100,'920834,三维装备,12.47,2.47%,0.3,3.04万手,246手,12.46,12.47,0.00%,4.85%,3782万,53.71 ①,橡胶,12.63,12.12,12.25,12.17,4.19%,1.63,42.04%,322手,12.42,8709手,2.17万手,0.4,62手,3手,4.75,1.20亿,15.0亿元,6280万,7.83亿元,0.56%,3.06%,12.83%,19.72%
101,'920496,许昌智能,8.82,2.44%,0.21,2.34万手,619手,8.81,8.82,0.23%,1.61%,2043万,495.63 ①,电力设备,8.82,8.56,8.57,8.61,3.02%,0.69,43.23%,805手,8.75,9409手,1.39万手,0.67,190手,190手,2.59,1.66亿,14.6亿元,1.45亿,12.8亿元,-0.34%,-2.97%,5.05%,13.35%
102,'920378,泰德股份,8.84,2.43%,0.21,1.52万手,285手,8.82,8.84,-0.11%,1.37%,1352万,185.66 ①,底盘与发动机系统,8.97,8.62,8.68,8.63,4.06%,0.88,28.29%,207手,8.87,6438手,8802手,0.73,39手,12手,3.45,1.56亿,13.7亿元,1.11亿,9.85亿元,1.96%,0.68%,7.46%,9.16%
103,'920833,美心翼申,15.24,2.42%,0.36,1.02万手,31手,15.2,15.24,-0.07%,1.63%,1545万,91.81 ①,其他通用设备,15.32,14.78,14.78,14.88,3.63%,0.96,16.26%,110手,15.19,3085手,7082手,0.44,53手,63手,2.04,8236万,12.6亿元,6246万,9.52亿元,-0.91%,-4.69%,4.67%,10.11%
104,'920273,一致魔芋,19.99,2.41%,0.47,1.41万手,114手,19.94,19.99,0.25%,2.06%,2822万,44.36 ①,农林牧渔,20.3,19.52,19.52,19.52,4.00%,0.82,24.72%,94手,19.98,7088手,7036手,1.01,76手,17手,3.03,1.03亿,20.6亿元,6867万,13.7亿元,-8.76%,-8.34%,8.05%,14.64%
105,'920781,瑞奇智造,7.31,2.38%,0.17,1.87万手,521手,7.31,7.33,-0.54%,1.83%,1368万,亏损 ①,专用设备,7.4,7.15,7.17,7.14,3.50%,1.05,-19.73%,-249手,7.31,6653手,1.21万手,0.55,4手,55手,3.2,1.55亿,11.3亿元,1.02亿,7.46亿元,0.83%,-2.14%,4.93%,10.56%
106,'920701,豪声电子,15.09,2.37%,0.35,5236手,66手,15.09,15.11,-0.13%,0.52%,787万,188.39 ①,消费电子,15.15,14.82,14.86,14.74,2.24%,0.5,-46.11%,-153手,15.04,2054手,3181手,0.65,1手,99手,2.44,1.37亿,20.7亿元,1.00亿,15.1亿元,-2.90%,-2.77%,2.37%,5.75%
107,'920278,鹿得医疗,7.8,2.36%,0.18,1.39万手,413手,7.8,7.81,0.00%,1.87%,1081万,500.06 ①,医疗器械,7.87,7.57,7.59,7.62,3.94%,1.29,-49.27%,-526手,7.79,5647手,8229手,0.69,83手,100手,3.54,1.75亿,13.6亿元,7405万,5.78亿元,-1.14%,-4.29%,4.63%,9.12%
108,'920367,新赣江,18.4,2.34%,0.42,6193手,92手,18.4,18.43,-0.27%,1.47%,1139万,104.88 ①,化学制药,18.55,17.97,17.97,17.98,3.23%,0.54,-0.48%,-1手,18.4,2390手,3803手,0.63,24手,13手,2.69,7086万,13.0亿元,4199万,7.73亿元,-0.70%,-6.17%,5.01%,15.21%
